date	close
2017/12/25	228.50
2017/12/26	226.00
2017/12/27	225.00
2017/12/28	226.00
2017/12/29	229.50
2018/01/02	232.50
2018/01/03	237.00
2018/01/04	239.50
2018/01/05	240.00
2018/01/08	242.00
2018/01/09	242.00
2018/01/10	236.50
2018/01/11	235.00
2018/01/12	237.00
2018/01/15	240.00
2018/01/16	240.50
2018/01/17	242.00
2018/01/18	248.50
2018/01/19	255.50
2018/01/22	261.50
2018/01/23	266.00
2018/01/24	258.00
2018/01/25	258.00
2018/01/26	255.00
2018/01/29	258.50
2018/01/30	253.00
2018/01/31	255.00
2018/02/01	259.50
2018/02/02	259.50
2018/02/05	253.00
2018/02/06	239.00

